+-----+------------+----------------------------------------------------+----------------------------------------------+-------------+--------+
| Era | Julian Day |                      Raw Path                      |               Compressed Path                | Type(R/C/B) | Amount |
|  32 |    5936    |      folio:/data4/paper/raw_to_tape/2455936/       |     folio:/data4/paper/2011EoR/2455936/      |      B      |   88   |
|  32 |    5936    |      folio:/data4/paper/raw_to_tape/2455936/       |                     NULL                     |      R      |   1    |
|  32 |    5937    |      folio:/data4/paper/raw_to_tape/2455937/       |     folio:/data4/paper/2011EoR/2455937/      |      B      |   27   |
|  32 |    5937    |      folio:/data4/paper/raw_to_tape/2455937/       |                     NULL                     |      R      |   1    |
|  32 |    5938    |      folio:/data4/paper/raw_to_tape/2455938/       |     folio:/data4/paper/2011EoR/2455938/      |      B      |   2    |
|  32 |    5938    |      folio:/data4/paper/raw_to_tape/2455938/       |                     NULL                     |      R      |   2    |
|  32 |    5940    |      folio:/data4/paper/raw_to_tape/2455940/       |     folio:/data4/paper/2011EoR/2455940/      |      B      |   13   |
|  32 |    5940    |      folio:/data4/paper/raw_to_tape/2455940/       |                     NULL                     |      R      |   2    |
|  32 |    5944    |      folio:/data4/paper/raw_to_tape/2455944/       |     folio:/data4/paper/2011EoR/2455944/      |      B      |  105   |
|  32 |    5944    |      folio:/data4/paper/raw_to_tape/2455944/       |                     NULL                     |      R      |   1    |
|  32 |    5945    |      folio:/data4/paper/raw_to_tape/2455945/       |     folio:/data4/paper/2011EoR/2455945/      |      B      |  117   |
|  32 |    5945    |      folio:/data4/paper/raw_to_tape/2455945/       |                     NULL                     |      R      |   2    |
|  32 |    5946    |      folio:/data4/paper/raw_to_tape/2455946/       |     folio:/data4/paper/2011EoR/2455946/      |      B      |  101   |
|  32 |    5946    |      folio:/data4/paper/raw_to_tape/2455946/       |                     NULL                     |      R      |   2    |
|  32 |    5947    |      folio:/data4/paper/raw_to_tape/2455947/       |     folio:/data4/paper/2011EoR/2455947/      |      B      |  142   |
|  32 |    5947    |      folio:/data4/paper/raw_to_tape/2455947/       |                     NULL                     |      R      |   2    |
